id,board_title
0,Who cut WikiLeaks founder Julian Assange's internet access?
1,Has Donald Trump sexually assaulted any women?
2,Will Boko Haram attack infrastructure in Nigeria?
3,Are there backdoors in the major encryption standards?
4,What is the relationship between WikiLeaks and Russian intelligence?
5,What is the relationship between Edward Snowden and the Kremlin?
6,Why won't Donald Trump release his tax returns?
7,What health condition(s) does Hillary Clinton have?
8,What caused the SpaceX Falcon 9 explosion?
9,Are we living in a simulation?
10,Is Russia attempting to tamper with the 2016 US election?
